Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
31752282,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,"Knight, Phil",,1471146723,9781471146725,4,4.47,Simon  Schuster UK,Paperback,400,2018,2016,,10/4/22,read-business,read-business (#8),read,,,,1,0
459064,"Reaper's Gale (Malazan Book of the Fallen, #7)",Steven Erikson,"Erikson, Steven",,0593046315,9780593046319,3,4.39,Bantam Press,Hardcover,928,2007,2007,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#50),read,,,,1,0
478951,"The Bonehunters (Malazan Book of the Fallen, #6)",Steven Erikson,"Erikson, Steven",,0553813153,9780553813159,3,4.47,Bantam,Mass Market Paperback,1203,2007,2006,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#49),read,,,,1,0
345299,"Midnight Tides (Malazan Book of the Fallen, #5)",Steven Erikson,"Erikson, Steven",,0553813145,9780553813142,3,4.4,Bantam,Paperback,960,2005,2004,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#48),read,,,,1,0
55398,"House of Chains (Malazan Book of the Fallen, #4)",Steven Erikson,"Erikson, Steven",,0765348810,9780765348814,3,4.34,Tom Doherty Associates,Mass Market Paperback,1015,2007,2002,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#47),read,,,,1,0
55399,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,0765348780,9780765348784,3,3.91,Tor Books,Mass Market Paperback,657,2005,1999,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#44),read,,,,1,0
175983,"Memories of Ice (Malazan Book of the Fallen, #3)",Steven Erikson,"Erikson, Steven",,0765348802,9780765348807,3,4.45,Tor Fantasy,Mass Market Paperback,925,2006,2001,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#45),read,,,,1,0
55401,"Deadhouse Gates (Malazan Book of the Fallen, #2)",Steven Erikson,"Erikson, Steven",,0765310023,9780765310026,3,4.26,Tor Books,Hardcover,604,2005,2000,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#46),read,,,,1,0
469208,"Dawnthief (Chronicles of the Raven, #1)",James Barclay,"Barclay, James",,0575075341,9780575075344,2,3.65,Gollancz,Paperback,527,2003,1999,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#51),read,,,,1,0
140671,"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,"Cook, Glen",,0812521390,9780812521399,4,3.93,Tor Fantasy,Mass Market Paperback,319,1992,1984,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#52),read,,,,1,0
400881,"Shadows Linger (The Chronicles of the Black Company, #2)",Glen Cook,"Cook, Glen",,0812508424,9780812508420,3,4.18,Tor Books,Mass Market Paperback,319,1990,1984,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#53),read,,,,1,0
400906,"The White Rose (The Chronicles of the Black Company, #3)",Glen Cook,"Cook, Glen",,0812508440,9780812508444,3,4.2,Tor Fantasy,Mass Market Paperback,317,1985,1985,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#54),read,,,,1,0
113540,"Shadow Games (The Chronicles of the Black Company, #4)",Glen Cook,"Cook, Glen",,0812533828,9780812533828,3,4.11,Tor Fantasy,Mass Market Paperback,311,1989,1989,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#55),read,,,,1,0
40921633,The New Silk Roads: The Present and Future of the World,Peter Frankopan,"Frankopan, Peter",,1526607425,9781526607423,1,3.6,Bloomsbury,Hardcover,313,2018,2018,,31/3/22,read-history,read-history (#19),read,,,,1,0
5543833,A History of Modern Sudan,Robert O. Collins,"Collins, Robert O.",,0521674956,9780521674959,3,3.67,Cambridge University Press,Paperback,360,2008,2008,,31/3/22,read-history,read-history (#23),read,,,,1,0
